(pixelX, pixelY), (distX, distY, distZ), (robotZ, robotY), (errXmm, errYmm)
B1 (314.0, 140.0), (-0.0006834276435689901, -0.0006622937841811449, -1.4084483062504205e-05), (0.24, -0.05), (5, 0)
B2 (315.0, 390.0), (0.0009899239083637212, 0.23416815701834715, -0.0028512047971602783), (0.0, -0.05), (19, 3)
B3 (318.0, 633.0), (0.00452295735166075, 0.4624181606276405, -0.005546780680234065), (-0.23, -0.04), (12, 15.5)
B4 (506.0, 267.0), (0.18018948550257718, 0.1181410827458258, 0.004408870713270119), (0.12, 0.13), (12, 8)
B5 (506.0, 513.0), (0.18091099875361394, 0.34921676677813274, 0.0015870105070234786), (-0.11, 0.13), (13, 10)
O1 (698.0, 141.0), (0.3603203545328135, -0.0007065490988562573, 0.011733982950993038), (0.24, 0.31), (2, 11)
O0 (696.0, 391.0), (0.3591733869504061, 0.23413158597995043, 0.008804991243067661), (0.0, 0.31), (15, 14)
O2 (693.0, 636.0), (0.3570716480864071, 0.46427562223962227, 0.005902730619439467), (-0.23, 0.31), (19, 15)
A4 (890.0, 268.0), (0.5411932676789597, 0.11809682743115246, 0.016156938147332767), (0.12, 0.49), (7, 18)
A5 (886.0, 516.0), (0.5381602213789307, 0.3510614212629868, 0.01318964079641205), (-0.11, 0.49), (21, 20)
A1 (1086.0, 140.0), (0.7250786962602618, -0.0026397142130587525, 0.023627487529729763), (0.24, 0.68), (6, 32)
A2 (1081.0, 393.0), (0.7211202084855977, 0.2350241012887615, 0.020572211498624426), (0.0, 0.67), (11, 25)
A3 (1075.0, 643.0), (0.7162128153907368, 0.4698724820692721, 0.017520724598924176), (-0.23, 0.67), (25, 27)


